Bulk Edit Items,,,,,,,,,,
Barcode,Item Code,Item Name,Item Group,Warehouse,Quantity,Stock UOM,Valuation Rate,Amount,Quantity Difference,Amount Difference
barcode,item_code,item_name,item_group,warehouse,qty,stock_uom,valuation_rate,amount,quantity_difference,amount_difference
 , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,
------,,,,,,,,,,
,RM01,BAUD BAJA RINGAN 10 x 19,BAUD,GD. UTAMA - C,0,PAK,96800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM008,BB 13 KSSG ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,107500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM007,BB 13 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,107500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM006,BB 12 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,89880,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM005,BB 10 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,58830,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM003,BB 8 WBL SNI TP280,BBF,GD. UTAMA - C,0,BTG,40290,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM00257,KAWAT LOKET PVC 1/4,KAWAT,GD. UTAMA - C,0,ROLL,73295,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM00256,KAWAT LOKET PVC 1/2,KAWAT,GD. UTAMA - C,0,ROLL,51895,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM002,BB 8 IBS SNI TP280,BBF,GD. UTAMA - C,0,BTG,42186,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0010,"PAKU HS 6""",PAKU,GD. UTAMA - C,3,DUS,330000,990000,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0008,BB 16 IBS ULIR SNI TS280,BBF,GD. UTAMA - C,0,BTG,161500,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,RM0002,BAUD DRILLING 12 x 70 LL,BAUD,GD. UTAMA - C,0,DUS,694000,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
,NV05,BB 16 OKE ULIR SNI TS280,BB,GD. UTAMA - C,0,BTG,136800,0,1170.000 - Akun sementara - BAC,1170.000 - Akun sementara - BAC
